k,face_internal,ethiopia,malawi
2,0.0963297719190353,1.3394923004105344,1.6203344590527875
3,0.12831036754714617,1.339614599184691,1.7450119067759577
5,0.5588386263183834,1.3446068297728315,1.8443230724876056
8,0.904511214448096,1.4034330758647353,1.9437780833573677
10,1.0744283266955985,1.4633667082181812,2.0296027332963282
